two_theta_deg,intensity_raw,intensity_smoothed
12.347190,114.5669,60.5962
12.363936,113.0906,60.0341
12.380682,115.2559,61.6027
12.397428,115.5512,63.1025
12.414174,113.5827,64.1478
12.430921,116.1417,63.6309
12.447667,119.0945,63.5221
12.464413,113.7795,62.8024
12.481159,114.9606,61.6321
12.497905,111.7126,61.1441
12.514651,112.6969,61.3480
12.531397,112.0079,61.0881
12.548144,112.3031,61.6961
12.564890,118.3071,61.5288
12.581636,117.7165,62.9100
12.598382,110.2362,62.2531
12.615128,114.4685,63.2479
12.631874,114.6654,63.6926
12.648621,119.5866,63.6809
12.665367,111.0236,63.9782
12.682113,123.8189,64.6186
12.698859,114.5669,63.6120
12.715605,114.1732,63.6829
12.732351,112.8937,63.4714
12.749098,115.2559,62.9612
12.765844,114.1732,60.8424
12.782590,117.8150,60.6471
12.799336,110.6299,59.4830
12.816082,106.0039,58.6215
12.832828,109.1535,56.4951
12.849574,109.0551,55.4070
12.866321,108.1693,55.4028
12.883067,108.5630,55.7197
12.899813,104.3307,57.0162
12.916559,112.2047,57.5455
12.933305,112.1063,58.0461
12.950051,107.0866,58.3136
12.966798,115.7480,58.4198
12.983544,108.5630,57.8738
13.000290,107.2835,55.8172
13.017036,107.4803,55.4480
13.033782,107.4803,54.8667
13.050528,104.9213,54.7343
13.067275,107.0866,55.8610
13.084021,112.1063,57.3879
13.100767,108.6614,58.6158
13.117513,115.4528,59.8673
13.134259,111.2205,61.5965
13.151005,116.6339,62.3885
13.167751,113.4843,63.4845
13.184498,116.4370,65.5762
13.201244,119.2913,65.4801
13.217990,117.6181,65.6175
13.234736,120.9646,64.6075
13.251482,118.2087,65.3647
13.268228,110.4331,65.1251
13.284975,115.4528,64.3494
13.301721,118.0118,63.9349
13.318467,122.7362,64.0053
13.335213,114.6654,65.2316
13.351959,114.3701,65.9297
13.368705,118.5039,66.1970
13.385451,121.9488,66.9892
13.402198,121.3583,68.0292
13.418944,120.9646,72.1721
13.435690,129.7244,76.5071
13.452436,130.6102,79.8114
13.469182,136.3189,84.8476
13.485928,149.7047,91.6607
13.502675,150.0984,99.3955
13.519421,153.0512,107.4411
13.536167,171.7520,118.4110
13.552913,180.9055,127.8073
13.569659,190.7480,137.8572
13.586405,201.7717,147.1487
13.603152,214.1732,156.6860
13.619898,211.0236,163.2541
13.636644,227.5591,172.8452
13.653390,229.4291,182.1977
13.670136,253.2480,196.0189
13.686882,260.3346,213.5597
13.703628,293.0118,237.7739
